URL,Timestamp,Tipo_Dado,Conteudo,Detalhes_JSON
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,titulo,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto | Frete grátis,
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,meta_desc,Frete grátis com entrega no mesmo dia ✓ Compre online com segurança com Compra Garantida © Memória R,
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Central de privacidade.,"""https://www.mercadolivre.com.br/privacidade#tech-and-cookies"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Mercado Livre Brasil - Onde comprar e vender de Tudo,"""https://www.mercadolivre.com.br/"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,"Informe seu
CEP","""https://www.mercadolivre.com.br/navigation/addresses-hub?go=https%3A%2F%2Fwww.mercadolivre.com.br%2Fmemoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto%2Fp%2FMLB21754935"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Categorias,"""https://www.mercadolivre.com.br/categorias#nav-header"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Ofertas,"""https://www.mercadolivre.com.br/ofertas#nav-header"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Histórico,"""https://www.mercadolivre.com.br/gz/home/navigation#nav-header"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Supermercado,"""https://www.mercadolivre.com.br/ofertas/supermercado#nav-header"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Vender,"""https://www.mercadolivre.com.br/syi/core/list#nav-header"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Contato,"""https://www.mercadolivre.com.br/ajuda#nav-header"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,link,Crie a sua conta,"""https://www.mercadolivre.com.br/registration?confirmation_url=https%3A%2F%2Fwww.mercadolivre.com.br%2Fmemoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto%2Fp%2FMLB21754935#nav-header"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,"Meli+ Mega. Netflix, Disney+, HBO Max, Apple TV+. Por apenas R$ 39,90 por mês. Consulte termos e condições.","""https://http2.mlstatic.com/D_NQ_652134-MLA95476681077_102025-OO.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,variation-gallery,"""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_Q_NP_707578-MLA95647450214_102025-R.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_NQ_NP_707578-MLA95647450214_102025-O.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_Q_NP_998212-MLU70002252334_062023-R.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_NQ_NP_998212-MLU70002252334_062023-O.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_Q_NP_839993-MLU72580217022_112023-R.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_NQ_NP_839993-MLU72580217022_112023-O.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_Q_NP_761527-MLU72580217028_112023-R.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,imagem,Memória Ram Para Notebook 16gb Ddr5 4800mhz Cl40 Sodimm Crucial Ct16g48c40s5 Preto,"""https://http2.mlstatic.com/D_NQ_NP_761527-MLU72580217028_112023-O.webp"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,Aceitar cookies,"""button"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,Configurar cookies,"""button"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,,"""submit"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,,"""submit"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,,"""submit"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,Compartilhar,"""button"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,,"""button"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,,"""button"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,,"""button"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,botao,,"""button"""
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,"Buscar produtos, marcas e muito mais…","{""tipo"": ""text"", ""valor"": """"}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""radio"", ""valor"": ""0""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""radio"", ""valor"": ""1""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""radio"", ""valor"": ""2""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""radio"", ""valor"": ""3""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""hidden"", ""valor"": ""bi8wj5MS-2B8PvhIBd7Va1iF9eIGFl5iVbSo""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""hidden"", ""valor"": ""bi8wj5MS-2B8PvhIBd7Va1iF9eIGFl5iVbSo""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""hidden"", ""valor"": ""1""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""hidden"", ""valor"": ""page""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,input,,"{""tipo"": ""hidden"", ""valor"": ""MLB5362251016""}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,tabela,Tabela encontrada,"{""cabecalho"": [""""], ""linhas"": [[""""], [""""], [""""], [""""], [""""]]}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,tabela,Tabela encontrada,"{""cabecalho"": [""""], ""linhas"": []}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,tabela,Tabela encontrada,"{""cabecalho"": [""""], ""linhas"": [[""""], [""""], [""""]]}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,tabela,Tabela encontrada,"{""cabecalho"": [""""], ""linhas"": [[""""], [""""], [""""]]}"
https://www.mercadolivre.com.br/memoria-ram-para-notebook-16gb-ddr5-4800mhz-cl40-sodimm-crucial-ct16g48c40s5-preto/p/MLB21754935,2025-11-10T18:04:30.475425,tabela,Tabela encontrada,"{""cabecalho"": [""Custo-benef\u00edcio"", ""Avalia\u00e7\u00e3o 4.6 de 5""], ""linhas"": [[""Velocidade de uso"", ""Avalia\u00e7\u00e3o 4.8 de 5""], [""F\u00e1cil de instalar"", ""Avalia\u00e7\u00e3o 4.8 de 5""]]}"
